"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"正确城市天启查询","1098","城市天气查询接口","test_cases","Sat Aug 24 01:10:34 CST 2024","passed","Sat Aug 24 01:10:35 CST 2024","Test_Api","test_api","",""
"正确手机号码查询","157","手机号码归属地查询接口","test_cases","Sat Aug 24 01:10:34 CST 2024","passed","Sat Aug 24 01:10:34 CST 2024","Test_Api","test_api","",""
"正确起始终点车站查询","14","车站查询接口","test_cases","Sat Aug 24 01:10:34 CST 2024","skipped","Sat Aug 24 01:10:34 CST 2024","Test_Api","test_api","",""
