"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","接口自动化测试","0","F01_天气管理","1","0","F01S01_查询","0"
"0","接口自动化测试","0","F01_手机号码管理","1","0","F01S01_查询","0"
"0","接口自动化测试","0","F01_车站管理","0","1","F01S01_查询","0"
